,origin,label
0,calibrated/0077ML0005780000102730I01_DRCL.JPG,15
1,calibrated/0072MR0005610170103642E01_DRCL.JPG,8
2,calibrated/0069MR0004130000103477I01_DRCL.JPG,21
3,calibrated/0154ML0008510010104492E01_DRCL.JPG,8
4,calibrated/0019MR0000530000100138C00_DRCL.JPG,8
5,calibrated/0017ML0000500200100233B00_DRCL.JPG,8
6,calibrated/0025MR0001230130100711E01_DRCL.JPG,8
7,calibrated/0044MR0002011110102490E01_DRCL.JPG,8
8,calibrated/0003ML0000000160100036I01_DRCL.JPG,9
9,calibrated/0159MR0008640180201373E01_DRCL.JPG,8
10,calibrated/0025ML0001270080100815E01_DRCL.JPG,2
11,calibrated/0025ML0001270090100816E01_DRCL.JPG,20
12,calibrated/0163ML0008760040104601I01_DRCL.JPG,10
13,calibrated/0019MR0000540590100229I01_DRCL.JPG,8
14,calibrated/0042MR0001940570102272E01_DRCL.JPG,8
15,calibrated/0090ML0004760010102906I01_DRCL.JPG,10
16,calibrated/0019ML0000540560100337I01_DRCL.JPG,8
17,calibrated/0153ML0008480070104465I01_DRCL.JPG,8
18,calibrated/0042MR0001940660102281E01_DRCL.JPG,8
19,calibrated/0153ML0008480140104472I01_DRCL.JPG,8
20,calibrated/0073MR0003890010103665I01_DRCL.JPG,21
21,calibrated/0025MR0001230050100703E01_DRCL.JPG,8
22,calibrated/0177MH0002260000102364C00_DRCL.JPG,13
23,calibrated/0064MR0002850590103237E01_DRCL.JPG,8
24,calibrated/0085MH0001130000100958E01_DRCL.JPG,13
25,calibrated/0042MR0001941160102331E01_DRCL.JPG,8
26,calibrated/0050ML0002300250102173I01_DRCL.JPG,2
27,calibrated/0128MR0005340000200813E01_DRCL.JPG,4
28,calibrated/0013MR0000020060100034D01_DRCL.JPG,14
29,calibrated/0059ML0002690020102307E01_DRCL.JPG,8
30,calibrated/0073MR0003920010103662E01_DRCL.JPG,17
31,calibrated/0003ML0000000870100107I01_DRCL.JPG,8
32,calibrated/0177MH0002260000102366I01_DRCL.JPG,13
33,calibrated/0066MR0004780070103351E01_DRCL.JPG,8
34,calibrated/0098ML0006650010102949E01_DRCL.JPG,10
35,calibrated/0040MR0001860050101241E01_DRCL.JPG,8
36,calibrated/0036MH0000510030100053C00_DRCL.JPG,3
37,calibrated/0054MR0002480120103045E01_DRCL.JPG,8
38,calibrated/0032ML0000910000100874I01_DRCL.JPG,23
39,calibrated/0070MR0004940160103496E01_DRCL.JPG,8
40,calibrated/0084MH0000710000100908I01_DRCL.JPG,24
41,calibrated/0017ML0000550140100277C00_DRCL.JPG,8
42,calibrated/0098ML0006650020102950I01_DRCL.JPG,10
43,calibrated/0153ML0008480200104478E01_DRCL.JPG,8
44,calibrated/0019ML0000540330100314C00_DRCL.JPG,8
45,calibrated/0003ML0000000190100039E01_DRCL.JPG,9
46,calibrated/0169MR0009110000201658I01_DRCL.JPG,7
47,calibrated/0066MR0002930210103299E01_DRCL.JPG,8
48,calibrated/0081ML0004300000102835I01_DRCL.JPG,23
49,calibrated/0085MH0001130000100975E01_DRCL.JPG,24
50,calibrated/0053MR0002460030103002E01_DRCL.JPG,8
51,calibrated/0019ML0000540200100301I01_DRCL.JPG,8
52,calibrated/0017MR0000500130100085I01_DRCL.JPG,8
53,calibrated/0073ML0003860000102647E01_DRCL.JPG,23
54,calibrated/0173MR0008910000201795I01_DRCL.JPG,0
55,calibrated/0054MR0002480100103043E01_DRCL.JPG,8
56,calibrated/0094MH0001250060101106I01_DRCL.JPG,3
57,calibrated/0025ML0001270200100827E01_DRCL.JPG,8
58,calibrated/0163ML0008760000104597E01_DRCL.JPG,10
59,calibrated/0055ML0002540050102272E01_DRCL.JPG,8
60,calibrated/0153MR0008480290201301E01_DRCL.JPG,8
61,calibrated/0045MR0002080190102601E01_DRCL.JPG,8
62,calibrated/0044MR0002011280102507E01_DRCL.JPG,8
63,calibrated/0155MR0008520070201312I01_DRCL.JPG,8
